Year,Month,Yuma
1904,1,103
1904,2,108
1904,3,169
1904,4,228
1904,5,784
1904,6,1241
1904,7,653
1904,8,486
1904,9,329
1904,10,330
1904,11,174
1904,12,127
1905,1,230
1905,2,796
1905,3,1432
1905,4,1071
1905,5,1194
1905,6,2166
1905,7,858
1905,8,343
1905,9,184
1905,10,228
1905,11,340
1905,12,436
1906,1,194
1906,2,271
1906,3,719
1906,4,921
1906,5,1532
1906,6,2384
1906,7,1103
1906,8,543
1906,9,332
1906,10,332
1906,11,275
1906,12,519
1907,1,610
1907,2,532
1907,3,691
1907,4,996
1907,5,1074
1907,6,2685
1907,7,2734
1907,8,1066
1907,9,656
1907,10,386
1907,11,305
1907,12,211
1908,1,179
1908,2,403
1908,3,455
1908,4,503
1908,5,768
1908,6,1214
1908,7,924
1908,8,688
1908,9,322
1908,10,269
1908,11,229
1908,12,449
1909,1,284
1909,2,394
1909,3,449
1909,4,859
1909,5,1531
1909,6,2971
1909,7,2254
1909,8,1155
1909,9,1375
1909,10,396
1909,11,267
1909,12,238
1910,1,534
1910,2,259
1910,3,690
1910,4,814
1910,5,1599
1910,6,1332
1910,7,417
1910,8,272
1910,9,175
1910,10,198
1910,11,222
1910,12,197
1911,1,249
1911,2,379
1911,3,492
1911,4,578
1911,5,1273
1911,6,1817
1911,7,1420
1911,8,521
1911,9,252
1911,10,809
1911,11,344
1911,12,214
1912,1,153
1912,2,209
1912,3,377
1912,4,597
1912,5,1155
1912,6,3049
1912,7,1320
1912,8,643
1912,9,277
1912,10,312
1912,11,333
1912,12,186
1913,1,109
1913,2,172
1913,3,257
1913,4,725
1913,5,1096
1913,6,1345
1913,7,600
1913,8,267
1913,9,250
1913,10,293
1913,11,225
1913,12,181
1914,1,207
1914,2,329
1914,3,425
1914,4,649
1914,5,1523
1914,6,3130
1914,7,1459
1914,8,622
1914,9,281
1914,10,387
1914,11,291
1914,12,377
1915,1,260
1915,2,767
1915,3,438
1915,4,851
1915,5,1354
1915,6,1376
1915,7,873
1915,8,316
1915,9,128
1915,10,204
1915,11,169
1915,12,163
1916,1,1296
1916,2,805
1916,3,1014
1916,4,1008
1916,5,1549
1916,6,1684
1916,7,1040
1916,8,771
1916,9,350
1916,10,753
1916,11,337
1916,12,209
1917,1,259
1917,2,225
1917,3,278
1917,4,745
1917,5,1395
1917,6,2547
1917,7,2660
1917,8,664
1917,9,255
1917,10,214
1917,11,201
1917,12,193
1918,1,187
1918,2,165
1918,3,464
1918,4,365
1918,5,823
1918,6,1749
1918,7,1225
1918,8,327
1918,9,193
1918,10,218
1918,11,228
1918,12,208
1919,1,107
1919,2,203
1919,3,250
1919,4,583
1919,5,1023
1919,6,973
1919,7,572
1919,8,303
1919,9,146
1919,10,150
1919,11,288
1919,12,435
1920,1,323
1920,2,1077
1920,3,513
1920,4,577
1920,5,1309
1920,6,3656
1920,7,1219
1920,8,497
1920,9,239
1920,10,184
1920,11,295
1920,12,208
1921,1,197
1921,2,209
1921,3,379
1921,4,387
1921,5,1230
1921,6,3145
1921,7,1297
1921,8,996
1921,9,509
1921,10,254
1921,11,213
1921,12,293
1922,1,368
1922,2,305
1922,3,459
1922,4,541
1922,5,1583
1922,6,2767
1922,7,896
1922,8,342
1922,9,250
1922,10,110
1922,11,155
1922,12,210
1923,1,151
1923,2,164
1923,3,249
1923,4,513
1923,5,1324
1923,6,2413
1923,7,1205
1923,8,697
1923,9,606
1923,10,340
1923,11,393
1923,12,306
1924,1,352
1924,2,229
1924,3,229
1924,4,631
1924,5,1178
1924,6,1517
1924,7,514
1924,8,131
1924,9,88
1924,10,110
1924,11,175
1924,12,163
1925,1,98
1925,2,178
1925,3,244
1925,4,520
1925,5,820
1925,6,1189
1925,7,802
1925,8,299
1925,9,597
1925,10,528
1925,11,322
1925,12,218
1926,1,164
1926,2,147
1926,3,206
1926,4,669
1926,5,1278
1926,6,1694
1926,7,653
1926,8,247
1926,9,124
1926,10,202
1926,11,121
1926,12,212
1927,1,126
1927,2,552
1927,3,335
1927,4,456
1927,5,1376
1927,6,1642
1927,7,1230
1927,8,420
1927,9,854
1927,10,482
1927,11,354
1927,12,213
1928,1,182
1928,2,219
1928,3,252
1928,4,383
1928,5,1504
1928,6,1821
1928,7,722
1928,8,248
1928,9,118
1928,10,183
1928,11,211
1928,12,134
1929,1,104
1929,2,138
1929,3,314
1929,4,681
1929,5,1253
1929,6,2247
1929,7,962
1929,8,974
1929,9,704
1929,10,421
1929,11,221
1929,12,166
1930,1,110
1930,2,130
1930,3,220
1930,4,558
1930,5,838
1930,6,1297
1930,7,509
1930,8,672
1930,9,201
1930,10,178
1930,11,157
1930,12,103
1931,1,78
1931,2,194
1931,3,128
1931,4,168
1931,5,394
1931,6,591
1931,7,174
1931,8,118
1931,9,34
1931,10,186
1931,11,127
1931,12,81
1932,1,100
1932,2,505
1932,3,356
1932,4,677
1932,5,1222
1932,6,1747
1932,7,1097
1932,8,307
1932,9,291
1932,10,115
1932,11,134
1932,12,112
1933,1,82
1933,2,94
1933,3,178
1933,4,167
1933,5,417
1933,6,1613
1933,7,641
1933,8,137
1933,9,102
1933,10,142
1933,11,80
1933,12,111
1934,1,98
1934,2,100
1934,3,93
1934,4,97
1934,5,381
1934,6,231
1934,7,8
1934,8,5
1934,9,21
1934,10,7
1934,11,19
1934,12,59
1935,1,88
1935,2,68
1935,3,122
1935,4,120
1935,5,136
1935,6,345
1935,7,218
1935,8,175
1935,9,173
1935,10,177
1935,11,187
1935,12,86
1936,1,67
1936,2,84
1936,3,157
1936,4,179
1936,5,159
1936,6,163
1936,7,194
1936,8,175
1936,9,152
1936,10,121
1936,11,96
1936,12,75
1937,1,82
1937,2,187
1937,3,208
1937,4,173
1937,5,156
1937,6,156
1937,7,191
1937,8,190
1937,9,164
1937,10,143
1937,11,119
1937,12,109
1938,1,104
1938,2,117
1938,3,219
1938,4,203
1938,5,174
1938,6,162
1938,7,197
1938,8,196
1938,9,167
1938,10,157
1938,11,131
1938,12,127
1939,1,196
1939,2,571
1939,3,273
1939,4,209
1939,5,177
1939,6,180
1939,7,195
1939,8,187
1939,9,364
1939,10,250
1939,11,248
1939,12,256
1940,1,261
1940,2,178
1940,3,173
1940,4,222
1940,5,168
1940,6,154
1940,7,182
1940,8,186
1940,9,212
1940,10,268
1940,11,244
1940,12,295
1941,1,227
1941,2,167
1941,3,320
1941,4,243
1941,5,489
1941,6,655
1941,7,319
1941,8,432
1941,9,570
1941,10,568
1941,11,675
1941,12,824
1942,1,744
1942,2,673
1942,3,505
1942,4,322
1942,5,524
1942,6,511
1942,7,377
1942,8,218
1942,9,178
1942,10,165
1942,11,309
1942,12,410
1943,1,327
1943,2,219
1943,3,211
1943,4,205
1943,5,226
1943,6,256
1943,7,279
1943,8,267
1943,9,271
1943,10,317
1943,11,372
1943,12,457
1944,1,419
1944,2,458
1944,3,423
1944,4,348
1944,5,311
1944,6,240
1944,7,198
1944,8,215
1944,9,297
1944,10,328
1944,11,406
1944,12,395
1945,1,436
1945,2,392
